"","Gene","logFC","pvalues"
"ENSG00000272398","ENSG00000272398",5.55852142365386,0.3475202328419
"ENSG00000135439","ENSG00000135439",2.64110262523525,0.309473617790557
"ENSG00000130348","ENSG00000130348",3.58941915404564,0.361669644149962
"ENSG00000198719","ENSG00000198719",5.90198499725207,0.349156621730991
"ENSG00000169429","ENSG00000169429",3.08403019156268,0.277327925933751
"ENSG00000171608","ENSG00000171608",2.91602795475039,0.346861701359269
"ENSG00000164494","ENSG00000164494",3.50005201091366,0.365208835886416
"ENSG00000198732","ENSG00000198732",3.88661482801152,0.210575172288911
"ENSG00000130349","ENSG00000130349",3.04777118166361,0.360454577767219
"ENSG00000173404","ENSG00000173404",2.82532281309973,0.38030454011612
"ENSG00000142549","ENSG00000142549",2.68225479624329,0.0535857156383638
"ENSG00000146426","ENSG00000146426",2.66697046354443,0.376873808409874
"ENSG00000130347","ENSG00000130347",2.74308347596789,0.369327655786675
"ENSG00000275385","ENSG00000275385",5.60295641925231,0.380432166203253
"ENSG00000178409","ENSG00000178409",2.89300560037396,0.318348507671449
"ENSG00000134363","ENSG00000134363",2.98263713366942,0.144946681217742
"ENSG00000137142","ENSG00000137142",3.51370381755133,0.201108504153827
"ENSG00000133063","ENSG00000133063",3.2969275952793,0.39560249089527
"ENSG00000150275","ENSG00000150275",3.04013748179792,0.245649420986388
"ENSG00000124440","ENSG00000124440",3.14726585085034,0.174664034910498
"ENSG00000124102","ENSG00000124102",3.92201889535178,0.234928264163254
"ENSG00000158164","ENSG00000158164",3.09304425231339,0.256557661024018
"ENSG00000203710","ENSG00000203710",2.80302466855887,0.39676081390962
"ENSG00000253305","ENSG00000253305",2.93006570918567,0.386056429683445
"ENSG00000169840","ENSG00000169840",2.58280115943169,0.219555692359097
"ENSG00000170549","ENSG00000170549",4.14681598496713,0.251864017612315
"ENSG00000153132","ENSG00000153132",3.04698377189527,0.137832554272109
"ENSG00000111087","ENSG00000111087",4.40833706202988,0.363631408636186
"ENSG00000197083","ENSG00000197083",2.76300680627183,0.181953210761906
"ENSG00000128573","ENSG00000128573",3.28581780147808,0.236470681630826
"ENSG00000188011","ENSG00000188011",2.92580420915996,0.267257950755138
"ENSG00000168505","ENSG00000168505",3.03725961856908,0.140088697842326
"ENSG00000164946","ENSG00000164946",2.81064349207258,0.204052864908294
"ENSG00000231789","ENSG00000231789",2.87686363305652,0.368656906813493
"ENSG00000257335","ENSG00000257335",3.65136372644367,0.271536859621338
"ENSG00000258548","ENSG00000258548",4.12903909183814,0.206489967468151
"ENSG00000162992","ENSG00000162992",3.51727569320958,0.234873993443449
"ENSG00000085552","ENSG00000085552",2.76206255445617,0.179695961101743
"ENSG00000153993","ENSG00000153993",3.25449617727653,0.210528299867362
"ENSG00000108342","ENSG00000108342",3.50579967093742,0.322958638915306
"ENSG00000263958","ENSG00000263958",3.54818833366352,0.281414369087967
"ENSG00000253953","ENSG00000253953",3.35469612435678,0.379525321280109
"ENSG00000249158","ENSG00000249158",3.49738666201308,0.321035152029493
"ENSG00000241945","ENSG00000241945",2.83813358360789,0.0046223706636878
"ENSG00000214456","ENSG00000214456",2.8073549220576,0.16399070602866
"ENSG00000206557","ENSG00000206557",2.7933616499781,0.111469400315208
"ENSG00000181374","ENSG00000181374",2.61530252952206,0.429400158236759
"ENSG00000120057","ENSG00000120057",5.02898239372561,0.374049512825896
"ENSG00000237125","ENSG00000237125",3.67761178868683,0.243096916303459
"ENSG00000125813","ENSG00000125813",3.06200966227542,0.240773827367839
"ENSG00000170166","ENSG00000170166",3.08138832684066,0.185970668827947
"ENSG00000175189","ENSG00000175189",2.70525673443887,0.361349874179034
"ENSG00000150244","ENSG00000150244",5.69071861217261,0.381676048288634
"ENSG00000249362","ENSG00000249362",2.66966899802411,0.115175378347227
"ENSG00000143869","ENSG00000143869",2.86616857033105,0.30623728762741
"ENSG00000169297","ENSG00000169297",5.05104760559039,0.196404262348801
"ENSG00000215612","ENSG00000215612",5.24146606677908,0.17448247617426
"ENSG00000204963","ENSG00000204963",3.18081331758505,0.282340095683747
"ENSG00000108688","ENSG00000108688",2.89978620890857,0.31531865430229
"ENSG00000198028","ENSG00000198028",5.18051812191347,0.177172048199001
"ENSG00000273100","ENSG00000273100",3.23521646169403,0.329242358166211
"ENSG00000186493","ENSG00000186493",4.79041115859921,0.103205636762384
"ENSG00000230699","ENSG00000230699",3.0118157502472,0.272649644326232
"ENSG00000081842","ENSG00000081842",2.9919025323014,0.379870086527123
"ENSG00000287200","ENSG00000287200",4.13245029602365,0.376076788235416
"ENSG00000234354","ENSG00000234354",4.14348133314794,0.354617084421849
"ENSG00000170561","ENSG00000170561",5.92934544643621,0.0773034302800764
"ENSG00000287893","ENSG00000287893",3.13302541863078,0.401728288003487
"ENSG00000260577","ENSG00000260577",4.10643207781693,0.149843527188365
"ENSG00000163736","ENSG00000163736",3.4594316186373,0.168039037364126
"ENSG00000271551","ENSG00000271551",3.50610708000992,0.323032084199586
"ENSG00000204791","ENSG00000204791",3.5705785825585,0.359360738831221
"ENSG00000286478","ENSG00000286478",4.90000421002328,0.300457550182356
"ENSG00000179873","ENSG00000179873",3.08943508358194,0.215322867348437
"ENSG00000257443","ENSG00000257443",4.14383577257365,0.389149151875889
"ENSG00000196109","ENSG00000196109",2.96809075204526,0.229053512497695
"ENSG00000237863","ENSG00000237863",3.53743413063857,0.368678995732983
"ENSG00000229676","ENSG00000229676",3.79441586635011,0.154243205101569
"ENSG00000246528","ENSG00000246528",3.89077093024524,0.224966124382948
"ENSG00000148346","ENSG00000148346",3.19841355840201,0.364122045503644
"ENSG00000223528","ENSG00000223528",8.53377896009738,0.374724644580532
"ENSG00000180458","ENSG00000180458",3.10619940383192,0.284833045284645
"ENSG00000166926","ENSG00000166926",4.80511297127093,0.377579267899764
"ENSG00000136944","ENSG00000136944",4.56478461878353,0.153262195386228
"ENSG00000118113","ENSG00000118113",2.92810708151821,0.202908705454234
